text, ,category
The staircase has completely given way while tenants were using it.,Emergency,structural
Ants spotted repeatedly in unit 99 kitchen.,Medium ,pest
Persistent faint gas smell reported in unit 106.,High ,gas
Ants spotted repeatedly in unit 47 kitchen.,Medium  ,pest
"The garage door doesn't close all the way, minor security concern.",Medium  ,security
"The bathroom exhaust fan isn't working, causing minor mold buildup.",Medium  ,mold
"The parking line paint is fading, purely cosmetic.",Low  ,maintenance_minor
Ants spotted repeatedly in unit 79 kitchen.,Medium  ,pest
Flames are spreading fast toward the exit stairwell.,Emergency,fire
Loose handrail reported near unit 51 stairwell.,Medium ,structural
There's a small water stain that appears to be slowly growing on the ceiling.,Medium  ,water_leak
Exposed live wiring is sparking in unit 101.,Emergency,electrical
"Active fire reported in unit 93, people still inside.",Emergency,fire
There's a musty smell in the closet that might indicate early mold.,Medium ,mold
A gas stove burner won't fully shut off.,High  ,gas
Heavy mold growth reported in unit 2 bedroom.,High  ,mold
Minor paint peeling near unit 108 window sill.,Low  ,maintenance_minor
A slightly raised sidewalk slab could be a tripping hazard.,Medium  ,trip_hazard
"Toxic fumes are filling the stairwell, evacuate immediately.",Emergency,chemical
"Active fire reported in unit 57, people still inside.",Emergency,fire
"A gas leak has been confirmed in unit 81, immediate danger.",Emergency,gas
"One outdoor tile has a small chip, cosmetic only.",Low  ,maintenance_minor
Broken stair railing reported near unit 82.,High  ,structural
The carpet on the stairs is fraying and could catch a shoe.,Medium  ,trip_hazard
Ants spotted repeatedly in unit 83 kitchen.,Medium  ,pest
A minor scuff mark is visible on the hallway wall.,Low  ,maintenance_minor
"Squeaky cabinet hinge reported in unit 52, no safety issue.",Low  ,maintenance_minor
The building's fire alarm is going off with visible smoke on multiple floors.,Emergency,fire
A gas leak is hissing loudly from the stove connection.,Emergency,gas
Slightly loose doorbell button at unit 40.,Low  ,maintenance_minor
"Scorched outlet found in unit 42, warm to the touch.",High  ,electrical
Exposed live wiring is sparking in unit 105.,Emergency,electrical
Water is flooding rapidly and a person is trapped in the basement.,Emergency,water_leak
Ants spotted repeatedly in unit 107 kitchen.,Medium  ,pest
The electrical panel is on fire.,Emergency,electrical
"Structural collapse in progress in unit 49, occupants trapped.",Emergency,structural
"A window screen has a small tear, no structural issue.",Low  ,maintenance_minor
Heavy mold growth reported in unit 114 bedroom.,High  ,mold
There's minor paint peeling near a window sill.,Low  ,maintenance_minor
"Flickering hallway light near unit 63, dim at night.",Medium  ,trip_hazard
"Scorched outlet found in unit 6, warm to the touch.",High  ,electrical
An outdoor light near the walkway is flickering intermittently.,Medium  ,trip_hazard
"A gas leak has been confirmed in unit 21, immediate danger.",Emergency,gas
The elevator makes a grinding noise and shakes between floors.,High  ,structural
The stair railing is broken and could cause a fall.,High  ,structural
"Scorched outlet found in unit 26, warm to the touch.",High  ,electrical
"A gas leak has been confirmed in unit 5, immediate danger.",Emergency,gas
A balcony has collapsed while people were standing on it.,Emergency,structural
Small water stain slowly spreading on unit 27 ceiling.,Medium  ,water_leak
A ceiling tile is slightly discolored but dry and stable.,Low  ,maintenance_minor
A live wire fell and is touching a pool of water.,Emergency,electrical
"Structural collapse in progress in unit 69, occupants trapped.",Emergency,structural
The carbon monoxide alarm is going off and someone feels dizzy.,Emergency,gas
A window doesn't lock properly on the ground floor.,Medium  ,security
Slightly loose doorbell button at unit 76.,Low  ,maintenance_minor
Someone has been electrocuted touching a faulty appliance.,Emergency,electrical
Broken stair railing reported near unit 102.,High  ,structural
"A gas leak has been confirmed in unit 33, immediate danger.",Emergency,gas
Ants spotted repeatedly in unit 111 kitchen.,Medium  ,pest
"Squeaky cabinet hinge reported in unit 64, no safety issue.",Low  ,maintenance_minor
A patch of mildew has appeared in the bathroom corner.,Medium  ,mold
"A single ant was spotted near the windowsill, isolated incident.",Low  ,pest
A window pane is shattered and glass shards are on the floor.,High  ,structural
Slightly loose doorbell button at unit 104.,Low  ,maintenance_minor
Exposed live wiring is sparking in unit 37.,Emergency,electrical
"Flickering hallway light near unit 55, dim at night.",Medium  ,trip_hazard
"Flickering hallway light near unit 7, dim at night.",Medium  ,trip_hazard
"Squeaky cabinet hinge reported in unit 12, no safety issue.",Low  ,maintenance_minor
Minor paint peeling near unit 8 window sill.,Low  ,maintenance_minor
Slightly loose doorbell button at unit 48.,Low  ,maintenance_minor
"Structural collapse in progress in unit 13, occupants trapped.",Emergency,structural
An elderly tenant has collapsed and is not responding.,Emergency,medical
Slightly loose doorbell button at unit 88.,Low  ,maintenance_minor
The garden hose has a small drip when in use.,Low  ,maintenance_minor
"The smoke detector chirps occasionally, likely a low battery.",Medium  ,fire
A step on the exterior staircase is cracked and unstable.,High  ,trip_hazard
"Structural collapse in progress in unit 25, occupants trapped.",Emergency,structural
"A gas leak has been confirmed in unit 85, immediate danger.",Emergency,gas
A loose handrail on the interior stairs wiggles slightly.,Medium  ,structural
The fire extinguisher in the hallway is missing.,High  ,fire
Persistent faint gas smell reported in unit 14.,High  ,gas
Ants spotted repeatedly in unit 31 kitchen.,Medium  ,pest
Slightly loose doorbell button at unit 20.,Low  ,maintenance_minor
The intercom buzzer at the entrance is not working reliably.,Medium  ,security
Ants spotted repeatedly in unit 115 kitchen.,Medium  ,pest
"Squeaky cabinet hinge reported in unit 68, no safety issue.",Low  ,maintenance_minor
Slightly loose doorbell button at unit 56.,Low  ,maintenance_minor
