text,priority
Reporting major leak from in the unit.,HIGH
Noticed minor cosmetic issue in the block A.,LOW
Reporting electrical wires exposed from in the store room.,HIGH
Reporting broken door from in the block A.,HIGH
Complaint: scheduled maintenance in the unit 8.,LOW
We have a problem: not working in the unit.,MEDIUM
Tenant reports gutted and dangerous in the unit.,HIGH
We have a problem: noisy unit in the balcony.,MEDIUM
Please attend to tiny crack in the paint in the garage.,LOW
Complaint: heavy leak in the kitchen.,HIGH
Please attend to live wire on the third floor.,EMERGENCY
Reporting dripping tap from in the kitchen.,MEDIUM
There is inefficient heating by the stairs.,MEDIUM
We have a problem: security alarm triggered in the bedroom.,HIGH
We have a problem: not heating in the living room.,MEDIUM
Need help with light not working on the third floor.,MEDIUM
Noticed stained carpet in the garage.,MEDIUM
We have a problem: cosmetic touch up in the apartment 5.,LOW
Reporting minor cosmetic issue from in the unit.,LOW
no water in has been going on in the store room.,HIGH
Noticed damaged in the hallway.,MEDIUM
Please attend to damaged in the apartment 5.,MEDIUM
Tenant reports pipe burst in the balcony.,EMERGENCY
We have a problem: leak under the sink near the entrance.,MEDIUM
Noticed no water in in the hallway.,HIGH
Noticed the ceiling is leaking in the store room.,HIGH
Noticed cracked tile in the bedroom.,MEDIUM
Tenant reports preventative maintenance in the unit 8.,LOW
Please attend to structural collapse near the entrance.,EMERGENCY
Complaint: not working in the living room.,MEDIUM
Noticed collapsing wall in the unit 12.,EMERGENCY
paint peeling has been going on by the stairs.,LOW
Need help with not heating in the unit.,MEDIUM
Noticed clogged drain in the block A.,MEDIUM
Reporting carbon monoxide detector going off from on the third floor.,EMERGENCY
Noticed scheduled maintenance in the unit 8.,LOW
Need help with tiny crack in the paint near the entrance.,LOW
Need help with electrical danger near the entrance.,HIGH
There is booking an appointment in the block B.,LOW
Reporting stained carpet from in the hallway.,MEDIUM
There is an issue with clogged drain in the store room.,MEDIUM
Noticed paint peeling in the laundry room.,LOW
Complaint: major leak in the unit.,HIGH
There is flickering light in the bathroom.,MEDIUM
We have a problem: mold on the wall by the stairs.,MEDIUM
Please attend to scheduled maintenance in the store room.,LOW
routine check has been going on on the third floor.,LOW
We have a problem: broken door on the third floor.,HIGH
Reporting electrical hazard from in the unit.,HIGH
Need help with crack in the wall in the store room.,MEDIUM
Complaint: collapsing wall near the entrance.,EMERGENCY
Please attend to small leak in the unit 8.,MEDIUM
electrical hazard has been going on near the entrance.,HIGH
Reporting electrical spark from in the lobby.,EMERGENCY
There is gas leak in the lobby.,EMERGENCY
There is slow drain by the stairs.,MEDIUM
We have a problem: unsafe on the third floor.,HIGH
small leak has been going on by the stairs.,MEDIUM
Reporting fridge broke down from in the hallway.,HIGH
Complaint: water stain on the ceiling on the third floor.,MEDIUM
Please attend to not working in the unit 8.,MEDIUM
There is the ceiling is caving in on the third floor.,EMERGENCY
Complaint: electrical hazard by the stairs.,HIGH
Complaint: gas smell in the unit 12.,EMERGENCY
stained carpet has been going on near the entrance.,MEDIUM
We have a problem: flickering light by the stairs.,MEDIUM
Reporting fire down the hall from on the third floor.,EMERGENCY
Reporting inefficient heating from in the unit 8.,MEDIUM
We have a problem: toilet clogged in the unit.,MEDIUM
There is an issue with paint peeling in the laundry room.,LOW
There is an issue with cosmetic touch up in the block A.,LOW
Reporting severe leak from in the unit.,HIGH
Reporting maintenance required from in the block A.,MEDIUM
Please attend to thermostat not working in the unit 8.,MEDIUM
the wall is collapsing has been going on in the block A.,EMERGENCY
maintenance required has been going on in the unit 8.,MEDIUM
intruder in the building has been going on in the unit 8.,HIGH
Please attend to dripping tap in the balcony.,MEDIUM
Tenant reports electrical spark near the entrance.,EMERGENCY
Please attend to paint peeling near the entrance.,LOW
There is cosmetic touch up in the garage.,LOW
There is an issue with inventory check in the laundry room.,LOW
Reporting paint peeling from in the block A.,LOW
There is severe leak in the unit.,HIGH
We have a problem: electrical wires exposed on the third floor.,HIGH
Reporting not heating from on the third floor.,MEDIUM
Reporting the ceiling is caving in from in the unit.,EMERGENCY
There is annual inspection by the stairs.,LOW
Complaint: the ceiling is leaking in the store room.,HIGH
We have a problem: tiny crack in the paint in the apartment 5.,LOW
Complaint: exposed electrical wires by the stairs.,EMERGENCY
Reporting paint peeling from near the entrance.,LOW
Reporting electrical danger from on the third floor.,HIGH
Reporting stained carpet from in the balcony.,MEDIUM
Reporting not heating from in the apartment 5.,MEDIUM
Complaint: small leak by the stairs.,MEDIUM
maintenance required has been going on by the stairs.,MEDIUM
booking an appointment has been going on near the entrance.,LOW
We have a problem: live wire by the stairs.,EMERGENCY
Please attend to paint peeling in the bathroom.,LOW
We have a problem: noisy unit in the unit.,MEDIUM
Noticed scheduled maintenance in the unit 8.,LOW
Need help with pipe burst in the garage.,EMERGENCY
Complaint: unsafe in the unit.,HIGH
We have a problem: broken lock in the unit.,HIGH
There is slow drain in the balcony.,MEDIUM
Complaint: carbon monoxide detector going off on the third floor.,EMERGENCY
There is water shut off on the third floor.,HIGH
Tenant reports general enquiry in the apartment 5.,LOW
Tenant reports major leak near the entrance.,HIGH
There is tiny crack in the paint in the kitchen.,LOW
Need help with sparks flying by the stairs.,EMERGENCY
There is an issue with preventative maintenance in the laundry room.,LOW
We have a problem: scheduling a service near the entrance.,LOW
Please attend to mold on the wall in the unit.,MEDIUM
